# ==========================================================================
#  ROSSVILLE, ILLINOIS - THE TOWN ON ITS OWN STREET GRID
#
#  Not a grid that looks like Rossville - the actual one, taken from
#  OpenStreetMap and converted to metres about the crossing of Chicago Street
#  and Attica Street. That crossing is where the village numbers its addresses
#  from: East Attica ends and West Attica begins on exactly that longitude,
#  which is how the origin was found rather than assumed.
#
#  TWO THINGS THE REAL DATA GAVE THAT GUESSING WOULD NOT:
#
#    THE TOWN IS MOSTLY EAST OF ROUTE 1 - 780m east of Chicago Street and only
#    224m west. A symmetrical grid would have been wrong in a way you would feel
#    without being able to name it.
#
#    THE SPACING IS IRREGULAR - 104m Chicago to Harrison, 109 to Church, then
#    186 to Summit and 181 to Grove. Blocks average about 113m, not the 91m a
#    textbook 300-foot block gives, and the variation IS the character.
#
#  Several streets change name as they cross Route 1: McKibben east is McKibbin
#  west, Maple is Park Place, Gilbert is Perry, Stewart is Stufflebeam. Each is
#  emitted once under its eastern name, because the town is mostly east.
#
#  ONE SET OF LIGHTS, at Chicago and Attica. CitySignals requires both arms to be
#  a main road, so every other junction in the village is a stop sign.
#
#  THE WATER TOWER AND THE GRAIN ELEVATOR are the skyline. No tower block.
#
#  THE COUNTRY IS NEARLY EMPTY OF PEOPLE and that is right: Ross Township holds
#  1,617 against the village's 1,331, so 286 are spread over 42 square miles.
#  Seven to the square mile. It only adds up at county scale.
#
#  GROWS NORTH AND SOUTH: Chicago Street runs the full height of the map because
#  Hoopeston is six miles up it and Alvin five miles down it.
#
#  BOOTSTRAPPED by tools/relay-rossville.py on 2026-08-02; street positions in
#  tools/rossville-streets.json. THAT TOOL NO LONGER OWNS THIS FILE. Everything
#  since is authored here and here only - the roads moved onto their real rights
#  of way, fifteen alleys, Chicago Street's curve, the school, the downtown, the
#  1991 trades - and re-running the tool would replace the lot with a bootstrap.
#  It refuses to, and needs --write to be argued with. Edit THIS file.
# ==========================================================================

village Rossville
size 2100 2400

# ---- ground ---------------------------------------------------------------
# Field under everything - corn and beans to the horizon - grass over the village
# lots, and pavement ONLY at the crossroads. That last is load-bearing: CitySignals
# asks the ground at a junction's diagonals whether it is in a town, so paving the
# whole village would put lights on every corner of it.
terrain field 0,0 2100x2400
# as three abutting places tracing those wings. SeatOnSurvey matches places to
# measured structures BIGGEST FIRST on each lot, and parcel 641 carries four:
# the school and three outbuildings (one of them "206 North Chicago Street",
# 342 m2, a real address for a later session). The pass dealt the south wing
# onto that outbuilding, a hundred metres away at 18x22. One declaration, one
# primary structure: the pass seats it on the real ground and shrinks the loose
# box to honest bulk, exactly as its header documents for L-shaped buildings.
# The true wings are SeatOnSurvey's own named step two - walls from the real
# OUTLINE, a VillageMesh change - queued in IDEAS with the ruled silhouette:
# two storeys behind a flat parapet.
#
# Kind `school` for the east block too, deliberately - kinds.txt records what
# a second kind cost the last time somebody split it: Rossville's 165 children
# had nowhere to go.
place school 551,1032 52x55 "Rossville unit 30"
  door 602,1060
  human Ruled by the owner 2026-08-12 off the county's own PIN: this is Rossville-Alvin High School, parcel 641. The name is his memory; the ground and the outline are the county's measurement.
place school 700,1020 60x38 "Rossville unit 29"
  door 700,1039
  human Ruled by the owner 2026-08-12: the east block held the GRADE SCHOOL in 1991. FEMA sees no building standing here today and the county classes the ground commercial, so this 60x38 seat is remembered rather than measured - refine it in the browser map.
place watertower 840,854 18x18 "Rossville unit 31"
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "the water tower", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "watertower", which is what drives jobs, hours and what people do here.
place elevator 1171,1353 24x34 "Rossville unit 32"
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "the Rossville elevator", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "elevator", which is what drives jobs, hours and what people do here.
place green 537,1730 24x37 "Rossville unit 33"
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "the depot yard", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "green", which is what drives jobs, hours and what people do here.
place playground 1171,1979 30x28 "Rossville unit 34"
  human Unnamed, and waiting to be told. Nothing has been established about what was here in 1991. It was called "the Bishop road swings", from the 1913 Sanborn sheet and the county history - seventy-eight years earlier, and not evidence. The place KIND is still "playground", which is what drives jobs, hours and what people do here.

# ==========================================================================
#  THE HOUSES
#
#  Rossville held 1,331 people in 2010. Units are set by BLOCK AREA rather than
#  flat, because the real grid's blocks are not the same size - Chicago to Harrison
#  is 104m and Church to Summit is 186 - and giving a narrow block the same
#  population as a wide one is exactly how a real grid gets flattened into a fake
#  one. About one household to 1,750 square metres, which lands on the village's
#  own figure without being told it.
#
#  408 HOLMES AVE is on the block between Summit and Grove, north side of Holmes
#  Avenue, 126m north of Attica. Holmes runs east of Chicago Street only, which is
#  why the 400 block is the fourth one east. The house is not yet a place of its
#  own - that is the next piece of work.
# ==========================================================================

# ==========================================================================
#  THE HOUSES, ONE ADDRESS AT A TIME
#
#  Every house is its own place and its NAME IS ITS ADDRESS. That needed no new
#  directive and no new field: `house` is already an alias of the `dwelling` kind
#  (kinds.txt), which is already `home yes`, and WorldBuilder already refuses two
#  places with the same name - so an address is unique by construction and Place
#  already hashes it into a stable key. The town addressed itself.
#
#  THE NUMBERING IS THE REAL CONVENTION. The hundred counts CROSS STREETS out
#  from Route 1, not metres - the 400 block of E Holmes is the fourth one east
#  whether that is 400m or 700, and Rossville's spacing is irregular enough that
#  the difference is not academic. Within the block the lot number counts outward
#  from the crossroads, even on the south side of a street and odd on the north,
#  which is how you can stand on one kerb and know the numbers opposite.
#
#  SO 408 HOLMES AVE IS A DOOR. Fourth lot of the fourth block east, south side
#  of Holmes Avenue. You can walk to it.
#
#  Vacant lots are simply not emitted. A declining village has gaps in its
#  frontage - Rossville has lost a hundred people since 2010 - and a number with
#  no house on it is what that looks like from the street.
# ==========================================================================

place house 540,742 13x7 "306 York Ave"
  door 546,742
place house 566,742 13x7 "304 York Ave"
  door 572,742
place house 592,742 13x7 "302 York Ave"
  door 598,742
place house 540,826 13x7 "305 W Henderson Ave"
  door 546,832
place house 592,826 13x7 "301 W Henderson Ave"
  door 598,832
place house 540,865 13x7 "306 W Henderson Ave"
  door 546,865
place house 566,865 13x7 "304 W Henderson Ave"
  door 572,865
place house 592,865 13x7 "302 W Henderson Ave"
  door 598,865
place house 540,954 13x7 "305 W Green Ave"
  door 546,960
place house 566,954 13x7 "303 W Green Ave"
  door 572,960
place house 592,954 13x7 "301 W Green Ave"
  door 598,960
place house 566,993 13x7 "304 W Green Ave"
  door 572,993
place house 592,993 13x7 "302 W Green Ave"
  door 598,993
# THE WEST CAMPUS CARRIES NO HOUSES THROUGH ITS SCHOOL. 305, 303 and 301
# W Benton were seeded straight through the high school's measured footprint -
# the county's building stands where their lots were invented. Owner's ruling
# 2026-08-12, the same night as the east block's five.
place house 540,1320 13x7 "305 W Attica Ave"
  door 546,1326
place house 566,1320 13x7 "303 W Attica Ave"
  door 572,1326
place house 592,1320 13x7 "301 W Attica Ave"
  door 598,1326
place house 540,1379 13x7 "306 W Attica Ave"
  door 546,1379
place house 566,1379 13x7 "304 W Attica Ave"
  door 572,1379
place house 592,1379 13x7 "302 W Attica Ave"
  door 598,1379
place house 540,2009 13x7 "305 Greenwood Ave"
  door 546,2015
place house 566,2009 13x7 "303 Greenwood Ave"
  door 572,2015
place house 592,2009 13x7 "301 Greenwood Ave"
  door 598,2015
place house 540,2048 13x7 "306 Greenwood Ave"
  door 546,2048
place house 566,2048 13x7 "304 Greenwood Ave"
  door 572,2048
place house 592,2048 13x7 "302 Greenwood Ave"
  door 598,2048
place house 655,742 13x7 "202 York Ave"
  door 661,742
place house 655,826 13x7 "201 W Henderson Ave"
  door 661,832
place house 655,865 13x7 "202 W Henderson Ave"
  door 661,865
place house 655,954 13x7 "201 W Green Ave"
  door 661,960
place house 655,993 13x7 "202 W Green Ave"
  door 661,993
place house 655,1076 13x7 "201 W Benton Ave"
  door 661,1082
place house 655,2009 13x7 "201 Greenwood Ave"
  door 661,2015
place house 655,2048 13x7 "202 Greenwood Ave"
  door 661,2048
place house 700,865 13x7 "102 W Henderson Ave"
  door 706,865
place house 700,954 13x7 "101 W Green Ave"
  door 706,960
# THE SCHOOL BLOCK CARRIES NO HOUSES. Four were seeded on Unit 30's campus by
# block-area math - "101 W Benton" (wearing a west-side name east of Chicago),
# "102 E Green" (half in Green Avenue since the survey re-lay), "101 E Benton"
# and "103 E Benton". Owner's ruling, 2026-08-11: the high school's campus owned
# its whole block, Green down to Benton, and nobody lived on it.
place house 700,2009 13x7 "101 Greenwood Ave"
  door 706,2015
place house 700,2048 13x7 "102 Greenwood Ave"
  door 706,2048
place house 774,826 13x7 "101 E Henderson Ave"
  door 780,832
place house 800,826 13x7 "103 E Henderson Ave"
  door 806,832
place house 774,865 13x7 "102 E Henderson Ave"
  door 780,865
place house 800,865 13x7 "104 E Henderson Ave"
  door 806,865
place house 826,865 13x7 "106 E Henderson Ave"
  door 832,865
place house 774,954 13x7 "101 E Green Ave"
  door 780,960
place house 800,954 13x7 "103 E Green Ave"
  door 806,960
place house 826,954 13x7 "105 E Green Ave"
  door 832,960
place house 826,993 13x7 "106 E Green Ave"
  door 832,993
# THE ESTATE. Owner's ruling 2026-08-16: the grand house stands on Perry's south side
# just west of Route 1 — confirmed against the street itself (red brick, mansard roof,
# carriage drive, the whole block face of grounds). The two modest houses the county
# generator guessed at 102 and 104 never existed; 106 stays as the western neighbour.
# The address keeps the town's own name for the street — Perry, not Gilbert (line 21).
# The building is the owner's hand-made model, stood by Content/models.txt.
place house 782,1617 26x13 "101 Perry St"
  door 795,1617
place house 826,1619 13x7 "106 Gilbert Ave"
  door 832,1619
place house 774,1705 13x7 "101 Stewart Ave"
  door 780,1711
place house 800,1705 13x7 "103 Stewart Ave"
  door 806,1711
place house 826,1705 13x7 "105 Stewart Ave"
  door 832,1711
place apartment 774,1744 13x7 "102 Stewart Ave"
  door 780,1744
place house 826,1744 13x7 "106 Stewart Ave"
  door 832,1744
place house 774,1830 13x7 "101 Mckibben Ave"
  door 780,1836
place house 800,1830 13x7 "103 Mckibben Ave"
  door 806,1836
place house 826,1830 13x7 "105 Mckibben Ave"
  door 832,1836
place house 774,1869 13x7 "102 Mckibben Ave"
  door 780,1869
place house 826,1869 13x7 "106 Mckibben Ave"
  door 832,1869
place house 774,1957 13x7 "101 Dale Ave"
  door 780,1963
place house 800,1957 13x7 "103 Dale Ave"
  door 806,1963
place house 826,1957 13x7 "105 Dale Ave"
  door 832,1963
place house 774,1996 13x7 "102 Dale Ave"
  door 780,1996
place house 800,1996 13x7 "104 Dale Ave"
  door 806,1996
place house 826,1996 13x7 "106 Dale Ave"
  door 832,1996
place house 774,2078 13x7 "101 Thompson Ave"
  door 780,2084
place house 800,2078 13x7 "103 Thompson Ave"
  door 806,2084
place house 826,2078 13x7 "105 Thompson Ave"
  door 832,2084
place house 774,2117 13x7 "102 Thompson Ave"
  door 780,2117
place house 826,2117 13x7 "106 Thompson Ave"
  door 832,2117
place house 774,2202 13x7 "101 Earlcourt Ave"
  door 780,2208
place house 800,2202 13x7 "103 Earlcourt Ave"
  door 806,2208
place house 826,2202 13x7 "105 Earlcourt Ave"
  door 832,2208
place house 868,993 13x7 "202 E Green Ave"
  door 874,993
place house 894,993 13x7 "204 E Green Ave"
  door 900,993
place house 894,1076 13x7 "203 E Benton Ave"
  door 900,1082
place house 920,1076 13x7 "205 E Benton Ave"
  door 926,1082
place house 868,1115 13x7 "202 E Benton Ave"
  door 874,1115
place house 894,1115 13x7 "204 E Benton Ave"
  door 900,1115
place house 868,1203 13x7 "201 Holmes Ave"
  door 874,1209
place house 920,1203 13x7 "205 Holmes Ave"
  door 926,1209
place house 868,1242 13x7 "202 Holmes Ave"
  door 874,1242
place house 894,1242 13x7 "204 Holmes Ave"
  door 900,1242
place house 920,1242 13x7 "206 Holmes Ave"
  door 926,1242
place house 868,1320 13x7 "201 E Attica Ave"
  door 874,1326
place house 894,1320 13x7 "203 E Attica Ave"
  door 900,1326
place house 920,1320 13x7 "205 E Attica Ave"
  door 926,1326
place house 894,1379 13x7 "204 E Attica Ave"
  door 900,1379
place house 920,1379 13x7 "206 E Attica Ave"
  door 926,1379
place house 868,1455 13x7 "201 Maple Ave"
  door 874,1461
# THE CHURCH IS NOT A 13x7 HOUSE BOX, AND THE SURVEY HAS ALWAYS KNOWN WHERE IT IS.
#
# This was `place church 920,1455 13x7 "205 Maple Ave"` - the SAME default footprint every one of
# the town's 315 houses has, with a generated street address for a name, exactly like the seven
# `place school` boxes taken off the roll in the same commit.
#
# Twenty metres away sits parcel 444: an 892.6 m2 footprint measured at 32.5 x 35.6 m, county
# class 0090 "Tax Exempt", address "116 East Maple Street" - and `Content/parcel-1991.txt` lines
# 359-360 carry the OWNER'S OWN RULING on it, `was built` and `kind church`. Three sources agreed
# with each other and disagreed with city.txt, and nothing compared them.
#
# Position and size are the bounding box of the surveyed polygon; the name is the county's.
place church 925,1425 33x36 "116 E Maple Ave"
  # ON the south wall, because Maple Avenue runs along y=1478 - south of the building - so the
  # front door faces the street it is named for. The footprint spans y 1425..1460 inclusive, and
  # 1461 is one row past it: the Core suite caught that on the next run, which is what
  # DoorsThatOpen is for.
  door 940,1460
place house 868,1494 13x7 "202 Maple Ave"
  door 874,1494
place house 894,1494 13x7 "204 Maple Ave"
  door 900,1494
place house 920,1494 13x7 "206 Maple Ave"
  door 926,1494
place house 868,1580 13x7 "201 Gilbert Ave"
  door 874,1586
place house 894,1580 13x7 "203 Gilbert Ave"
  door 900,1586
place house 868,1619 13x7 "202 Gilbert Ave"
  door 874,1619
place house 894,1619 13x7 "204 Gilbert Ave"
  door 900,1619
place house 920,1619 13x7 "206 Gilbert Ave"
  door 926,1619
place house 868,1705 13x7 "201 Stewart Ave"
  door 874,1711
place house 894,1705 13x7 "203 Stewart Ave"
  door 900,1711
place house 920,1705 13x7 "205 Stewart Ave"
  door 926,1711
place house 868,1744 13x7 "202 Stewart Ave"
  door 874,1744
place house 894,1744 13x7 "204 Stewart Ave"
  door 900,1744
place house 894,1830 13x7 "203 Mckibben Ave"
  door 900,1836
place house 920,1830 13x7 "205 Mckibben Ave"
  door 926,1836
place house 868,1869 13x7 "202 Mckibben Ave"
  door 874,1869
place house 894,1869 13x7 "204 Mckibben Ave"
  door 900,1869
place house 868,1957 13x7 "201 Dale Ave"
  door 874,1963
place house 894,1957 13x7 "203 Dale Ave"
  door 900,1963
place house 920,1957 13x7 "205 Dale Ave"
  door 926,1963
place house 868,1996 13x7 "202 Dale Ave"
  door 874,1996
place apartment 894,1996 13x7 "204 Dale Ave"
  door 900,1996
place apartment 920,1996 13x7 "206 Dale Ave"
  door 926,1996
place house 894,2078 13x7 "203 Thompson Ave"
  door 900,2084
place house 920,2078 13x7 "205 Thompson Ave"
  door 926,2084
place house 868,2117 13x7 "202 Thompson Ave"
  door 874,2117
place house 894,2117 13x7 "204 Thompson Ave"
  door 900,2117
place house 868,2202 13x7 "201 Earlcourt Ave"
  door 874,2208
place house 894,2202 13x7 "203 Earlcourt Ave"
  door 900,2208
place house 920,2202 13x7 "205 Earlcourt Ave"
  door 926,2208
place house 977,993 13x7 "302 E Green Ave"
  door 983,993
place house 1003,993 13x7 "304 E Green Ave"
  door 1009,993
place house 977,1076 13x7 "301 E Benton Ave"
  door 983,1082
place house 1003,1076 13x7 "303 E Benton Ave"
  door 1009,1082
place house 977,1115 13x7 "302 E Benton Ave"
  door 983,1115
place house 1003,1115 13x7 "304 E Benton Ave"
  door 1009,1115
place house 1029,1115 13x7 "306 E Benton Ave"
  door 1035,1115
place house 1055,1115 13x7 "308 E Benton Ave"
  door 1061,1115
place house 977,1203 13x7 "301 Holmes Ave"
  door 983,1209
place house 1003,1203 13x7 "303 Holmes Ave"
  door 1009,1209
place house 1029,1203 13x7 "305 Holmes Ave"
  door 1035,1209
place house 1055,1203 13x7 "307 Holmes Ave"
  door 1061,1209
place house 1081,1203 13x7 "309 Holmes Ave"
  door 1087,1209
place house 977,1242 13x7 "302 Holmes Ave"
  door 983,1242
place house 1029,1242 13x7 "306 Holmes Ave"
  door 1035,1242
place house 1055,1242 13x7 "308 Holmes Ave"
  door 1061,1242
place house 1081,1242 13x7 "310 Holmes Ave"
  door 1087,1242
place house 1107,1242 13x7 "312 Holmes Ave"
  door 1113,1242
place house 1003,1320 13x7 "303 E Attica Ave"
  door 1009,1326
place house 1029,1320 13x7 "305 E Attica Ave"
  door 1035,1326
place house 1055,1320 13x7 "307 E Attica Ave"
  door 1061,1326
place house 1081,1320 13x7 "309 E Attica Ave"
  door 1087,1326
place house 1107,1320 13x7 "311 E Attica Ave"
  door 1113,1326
place house 977,1379 13x7 "302 E Attica Ave"
  door 983,1379
place house 1003,1379 13x7 "304 E Attica Ave"
  door 1009,1379
place house 1055,1379 13x7 "308 E Attica Ave"
  door 1061,1379
place house 1081,1379 13x7 "310 E Attica Ave"
  door 1087,1379
place house 977,1455 13x7 "301 Maple Ave"
  door 983,1461
place house 1003,1455 13x7 "303 Maple Ave"
  door 1009,1461
place house 1029,1455 13x7 "305 Maple Ave"
  door 1035,1461
place house 1081,1455 13x7 "309 Maple Ave"
  door 1087,1461
place house 1107,1455 13x7 "311 Maple Ave"
  door 1113,1461
place house 977,1494 13x7 "302 Maple Ave"
  door 983,1494
place house 1003,1494 13x7 "304 Maple Ave"
  door 1009,1494
place house 1029,1494 13x7 "306 Maple Ave"
  door 1035,1494
place house 1055,1494 13x7 "308 Maple Ave"
  door 1061,1494
place house 1081,1494 13x7 "310 Maple Ave"
  door 1087,1494
place house 1107,1494 13x7 "312 Maple Ave"
  door 1113,1494
place house 977,1580 13x7 "301 Gilbert Ave"
  door 983,1586
place house 1003,1580 13x7 "303 Gilbert Ave"
  door 1009,1586
place house 1029,1580 13x7 "305 Gilbert Ave"
  door 1035,1586
place house 1055,1580 13x7 "307 Gilbert Ave"
  door 1061,1586
place house 1081,1580 13x7 "309 Gilbert Ave"
  door 1087,1586
place house 1107,1580 13x7 "311 Gilbert Ave"
  door 1113,1586
place house 977,1619 13x7 "302 Gilbert Ave"
  door 983,1619
place house 1003,1619 13x7 "304 Gilbert Ave"
  door 1009,1619
place house 1055,1619 13x7 "308 Gilbert Ave"
  door 1061,1619
place house 1081,1619 13x7 "310 Gilbert Ave"
  door 1087,1619
place house 1107,1619 13x7 "312 Gilbert Ave"
  door 1113,1619
place house 977,1705 13x7 "301 Stewart Ave"
  door 983,1711
place house 1003,1705 13x7 "303 Stewart Ave"
  door 1009,1711
place house 1055,1705 13x7 "307 Stewart Ave"
  door 1061,1711
place house 1081,1705 13x7 "309 Stewart Ave"
  door 1087,1711
place house 1107,1705 13x7 "311 Stewart Ave"
  door 1113,1711
place house 977,1744 13x7 "302 Stewart Ave"
  door 983,1744
place house 1003,1744 13x7 "304 Stewart Ave"
  door 1009,1744
place house 1029,1744 13x7 "306 Stewart Ave"
  door 1035,1744
place house 1055,1744 13x7 "308 Stewart Ave"
  door 1061,1744
place house 1107,1744 13x7 "312 Stewart Ave"
  door 1113,1744
place house 977,1830 13x7 "301 Mckibben Ave"
  door 983,1836
place house 1003,1830 13x7 "303 Mckibben Ave"
  door 1009,1836
place house 1055,1830 13x7 "307 Mckibben Ave"
  door 1061,1836
place house 1081,1830 13x7 "309 Mckibben Ave"
  door 1087,1836
place house 1107,1830 13x7 "311 Mckibben Ave"
  door 1113,1836
place house 977,1869 13x7 "302 Mckibben Ave"
  door 983,1869
place house 1003,1869 13x7 "304 Mckibben Ave"
  door 1009,1869
place house 1029,1869 13x7 "306 Mckibben Ave"
  door 1035,1869
place house 1055,1869 13x7 "308 Mckibben Ave"
  door 1061,1869
place house 1107,1869 13x7 "312 Mckibben Ave"
  door 1113,1869
place house 977,1957 13x7 "301 Dale Ave"
  door 983,1963
place house 1003,1957 13x7 "303 Dale Ave"
  door 1009,1963
place house 1029,1957 13x7 "305 Dale Ave"
  door 1035,1963
place house 1055,1957 13x7 "307 Dale Ave"
  door 1061,1963
place house 1081,1957 13x7 "309 Dale Ave"
  door 1087,1963
place house 1107,1957 13x7 "311 Dale Ave"
  door 1113,1963
place house 977,1996 13x7 "302 Dale Ave"
  door 983,1996
place house 1029,1996 13x7 "306 Dale Ave"
  door 1035,1996
place house 1055,1996 13x7 "308 Dale Ave"
  door 1061,1996
place house 1107,1996 13x7 "312 Dale Ave"
  door 1113,1996
place house 977,2078 13x7 "301 Thompson Ave"
  door 983,2084
place house 1003,2078 13x7 "303 Thompson Ave"
  door 1009,2084
place house 1055,2078 13x7 "307 Thompson Ave"
  door 1061,2084
place house 1081,2078 13x7 "309 Thompson Ave"
  door 1087,2084
place house 1107,2078 13x7 "311 Thompson Ave"
  door 1113,2084
place house 977,2117 13x7 "302 Thompson Ave"
  door 983,2117
place house 1003,2117 13x7 "304 Thompson Ave"
  door 1009,2117
place house 1029,2117 13x7 "306 Thompson Ave"
  door 1035,2117
place house 1055,2117 13x7 "308 Thompson Ave"
  door 1061,2117
place house 1107,2117 13x7 "312 Thompson Ave"
  door 1113,2117
place house 977,2202 13x7 "301 Earlcourt Ave"
  door 983,2208
place house 1029,2202 13x7 "305 Earlcourt Ave"
  door 1035,2208
place house 1055,2202 13x7 "307 Earlcourt Ave"
  door 1061,2208
place house 1107,2202 13x7 "311 Earlcourt Ave"
  door 1113,2208
place house 1163,1242 13x7 "408 Holmes Ave"
  door 1169,1242
place house 1163,1320 13x7 "401 E Attica Ave"
  door 1169,1326
place house 1163,1494 13x7 "402 Maple Ave"
  door 1169,1494
place house 1189,1494 13x7 "404 Maple Ave"
  door 1195,1494
place house 1215,1494 13x7 "406 Maple Ave"
  door 1221,1494
place house 1241,1494 13x7 "408 Maple Ave"
  door 1247,1494
place house 1267,1494 13x7 "410 Maple Ave"
  door 1273,1494
place house 1293,1494 13x7 "412 Maple Ave"
  door 1299,1494
place house 1163,1580 13x7 "401 Gilbert Ave"
  door 1169,1586
place house 1189,1580 13x7 "403 Gilbert Ave"
  door 1195,1586
place house 1215,1580 13x7 "405 Gilbert Ave"
  door 1221,1586
place house 1241,1580 13x7 "407 Gilbert Ave"
  door 1247,1586
place house 1267,1580 13x7 "409 Gilbert Ave"
  door 1273,1586
place house 1293,1580 13x7 "411 Gilbert Ave"
  door 1299,1586
place house 1163,1619 13x7 "402 Gilbert Ave"
  door 1169,1619
place house 1215,1619 13x7 "406 Gilbert Ave"
  door 1221,1619
place house 1241,1619 13x7 "408 Gilbert Ave"
  door 1247,1619
place house 1267,1619 13x7 "410 Gilbert Ave"
  door 1273,1619
place house 1293,1619 13x7 "412 Gilbert Ave"
  door 1299,1619
place house 1163,1705 13x7 "401 Stewart Ave"
  door 1169,1711
place house 1215,1705 13x7 "405 Stewart Ave"
  door 1221,1711
place house 1241,1705 13x7 "407 Stewart Ave"
  door 1247,1711
place house 1267,1705 13x7 "409 Stewart Ave"
  door 1273,1711
place house 1293,1705 13x7 "411 Stewart Ave"
  door 1299,1711
place house 1163,1744 13x7 "402 Stewart Ave"
  door 1169,1744
place house 1189,1744 13x7 "404 Stewart Ave"
  door 1195,1744
place house 1215,1744 13x7 "406 Stewart Ave"
  door 1221,1744
place house 1267,1744 13x7 "410 Stewart Ave"
  door 1273,1744
place house 1293,1744 13x7 "412 Stewart Ave"
  door 1299,1744
place house 1163,1830 13x7 "401 Mckibben Ave"
  door 1169,1836
place house 1215,1830 13x7 "405 Mckibben Ave"
  door 1221,1836
place house 1241,1830 13x7 "407 Mckibben Ave"
  door 1247,1836
place house 1267,1830 13x7 "409 Mckibben Ave"
  door 1273,1836
place house 1293,1830 13x7 "411 Mckibben Ave"
  door 1299,1836
place house 1163,1869 13x7 "402 Mckibben Ave"
  door 1169,1869
place house 1189,1869 13x7 "404 Mckibben Ave"
  door 1195,1869
place house 1215,1869 13x7 "406 Mckibben Ave"
  door 1221,1869
place house 1267,1869 13x7 "410 Mckibben Ave"
  door 1273,1869
place house 1293,1869 13x7 "412 Mckibben Ave"
  door 1299,1869
place house 1163,1957 13x7 "401 Dale Ave"
  door 1169,1963
place house 1189,1957 13x7 "403 Dale Ave"
  door 1195,1963
place house 1215,1957 13x7 "405 Dale Ave"
  door 1221,1963
place house 1241,1957 13x7 "407 Dale Ave"
  door 1247,1963
place house 1267,1957 13x7 "409 Dale Ave"
  door 1273,1963
place house 1293,1957 13x7 "411 Dale Ave"
  door 1299,1963
place house 1163,2078 13x7 "401 Thompson Ave"
  door 1169,2084
place house 1215,2078 13x7 "405 Thompson Ave"
  door 1221,2084
place house 1241,2078 13x7 "407 Thompson Ave"
  door 1247,2084
place house 1267,2078 13x7 "409 Thompson Ave"
  door 1273,2084
place house 1293,2078 13x7 "411 Thompson Ave"
  door 1299,2084
place house 1163,2117 13x7 "402 Thompson Ave"
  door 1169,2117
place house 1189,2117 13x7 "404 Thompson Ave"
  door 1195,2117
place house 1215,2117 13x7 "406 Thompson Ave"
  door 1221,2117
place house 1267,2117 13x7 "410 Thompson Ave"
  door 1273,2117
place house 1293,2117 13x7 "412 Thompson Ave"
  door 1299,2117
place house 1189,2202 13x7 "403 Earlcourt Ave"
  door 1195,2208
place house 1215,2202 13x7 "405 Earlcourt Ave"
  door 1221,2208
place house 1267,2202 13x7 "409 Earlcourt Ave"
  door 1273,2208
place house 1293,2202 13x7 "411 Earlcourt Ave"
  door 1299,2208
place house 1344,1580 13x7 "501 Gilbert Ave"
  door 1350,1586
place house 1344,1619 13x7 "502 Gilbert Ave"
  door 1350,1619
place house 1396,1619 13x7 "506 Gilbert Ave"
  door 1402,1619
place house 1344,1705 13x7 "501 Stewart Ave"
  door 1350,1711
place house 1396,1705 13x7 "505 Stewart Ave"
  door 1402,1711
place house 1344,1744 13x7 "502 Stewart Ave"
  door 1350,1744
place house 1370,1744 13x7 "504 Stewart Ave"
  door 1376,1744
place house 1396,1744 13x7 "506 Stewart Ave"
  door 1402,1744
place house 1448,1744 13x7 "510 Stewart Ave"
  door 1454,1744
place house 1474,1744 13x7 "512 Stewart Ave"
  door 1480,1744
place house 1344,1830 13x7 "501 Mckibben Ave"
  door 1350,1836
place house 1396,1830 13x7 "505 Mckibben Ave"
  door 1402,1836
place house 1422,1830 13x7 "507 Mckibben Ave"
  door 1428,1836
place house 1474,1830 13x7 "511 Mckibben Ave"
  door 1480,1836
place house 1344,1869 13x7 "502 Mckibben Ave"
  door 1350,1869
place house 1370,1869 13x7 "504 Mckibben Ave"
  door 1376,1869
place house 1396,1869 13x7 "506 Mckibben Ave"
  door 1402,1869
place house 1422,1869 13x7 "508 Mckibben Ave"
  door 1428,1869
place house 1448,1869 13x7 "510 Mckibben Ave"
  door 1454,1869
place house 1474,1869 13x7 "512 Mckibben Ave"
  door 1480,1869
place house 1344,1957 13x7 "501 Dale Ave"
  door 1350,1963
place house 1396,1957 13x7 "505 Dale Ave"
  door 1402,1963
place house 1422,1957 13x7 "507 Dale Ave"
  door 1428,1963
place house 1448,1957 13x7 "509 Dale Ave"
  door 1454,1963
place house 1474,1957 13x7 "511 Dale Ave"
  door 1480,1963
place house 1344,1996 13x7 "502 Dale Ave"
  door 1350,1996
place house 1370,1996 13x7 "504 Dale Ave"
  door 1376,1996
place house 1396,1996 13x7 "506 Dale Ave"
  door 1402,1996
place house 1448,1996 13x7 "510 Dale Ave"
  door 1454,1996
place house 1474,1996 13x7 "512 Dale Ave"
  door 1480,1996
place house 1344,2078 13x7 "501 Thompson Ave"
  door 1350,2084
place house 1396,2078 13x7 "505 Thompson Ave"
  door 1402,2084
place house 1422,2078 13x7 "507 Thompson Ave"
  door 1428,2084
